vsw,idw,vgs,gm,gds,vsr,gm_full,margin,margin_vth,cgs,cgd,cdb,csb
3.50000000e-01,2.23872114e+01,8.83621428e-01,1.28336207e+01,9.18212278e-01,9.96420094e+01,8.45219428e+00,3.50979948e-01,2.90798660e-01,1.89827613e-11,4.99535313e-12,2.53690076e-12,2.53690076e-12
3.50000000e-01,2.51188643e+01,8.97946345e-01,1.21390388e+01,8.71771789e-01,9.95323399e+01,7.78480564e+00,3.59420683e-01,2.89262854e-01,1.69584306e-11,4.45235102e-12,2.25592651e-12,2.25592651e-12
3.50000000e-01,2.81838293e+01,9.13584533e-01,1.14370197e+01,8.24884919e-01,9.93715649e+01,7.13985202e+00,3.69077492e-01,2.87586935e-01,1.51544990e-11,3.96835414e-12,2.00640988e-12,2.00640988e-12
3.50000000e-01,3.16227766e+01,9.30719525e-01,1.07315098e+01,7.77804473e-01,9.91298181e+01,6.52232474e+00,3.80141308e-01,2.85749167e-01,1.35463779e-11,3.53692404e-12,1.78479024e-12,1.78479024e-12
3.50000000e-01,3.54813389e+01,9.49555224e-01,1.00269172e+01,7.30812211e-01,9.87584454e+01,5.93689394e+00,3.92823349e-01,2.83724856e-01,1.21122790e-11,3.15239161e-12,1.58792797e-12,1.58792797e-12
3.50000000e-01,3.98107171e+01,9.70320823e-01,9.32789292e+00,6.84204364e-01,9.81817752e+01,5.38746974e+00,4.07357827e-01,2.81485645e-01,1.08325568e-11,2.80965996e-12,1.41300611e-12,1.41300611e-12
3.50000000e-01,4.46683592e+01,9.93267072e-01,8.63941768e+00,6.38296952e-01,9.72955733e+01,4.87703424e+00,4.23998635e-01,2.78999701e-01,9.68981738e-12,2.50421280e-12,1.25753751e-12,1.25753751e-12
3.50000000e-01,5.01187234e+01,1.01866505e+00,7.96666932e+00,5.93417368e-01,9.59876001e+01,4.40737095e+00,4.43017141e-01,2.76231605e-01,8.66868795e-12,2.23203275e-12,1.11932510e-12,1.11932510e-12
3.50000000e-01,5.62341325e+01,1.04681126e+00,7.31484094e+00,5.49892595e-01,9.41861076e+01,3.97880327e+00,4.64704717e-01,2.73141475e-01,7.75543826e-12,1.98948534e-12,9.96403594e-13,9.96403594e-13
3.50000000e-01,6.30957344e+01,1.07801674e+00,6.68903977e+00,5.08042851e-01,9.19063726e+01,3.59037273e+00,4.89363290e-01,2.69685725e-01,6.93823253e-12,1.77337807e-12,8.87067753e-13,8.87067753e-13
3.50000000e-01,7.07945784e+01,1.11261899e+00,6.09402106e+00,4.68164569e-01,8.92492639e+01,3.23983489e+00,5.17313380e-01,2.65815152e-01,6.20660027e-12,1.58082185e-12,7.89797538e-13,7.89797538e-13
